id;route_long_name;stop_id;stop_name;stop_lon;stop_lat;operatorname;shortname;bookingrules;mode;pointgeo;nom_commune;code_insee
IDFM:C01727;C;IDFM:monomodalStopPlace:43080;Étampes;2.159819133907717;48.437062675829104;SNCF;C;;RapidTransit;48.437062675829104, 2.159819133907717;Étampes;91223
IDFM:C01727;C;IDFM:monomodalStopPlace:46299;Orly Ville;2.4030548924063897;48.74163230680523;SNCF;C;;RapidTransit;48.74163230680523, 2.4030548924063897;Orly;94054
IDFM:C01727;C;IDFM:monomodalStopPlace:47907;Pont de Rungis Aéroport d'Orly;2.373209854795934;48.74834625868034;SNCF;C;;RapidTransit;48.74834625868034, 2.373209854795934;Thiais;94073
IDFM:C01727;C;IDFM:monomodalStopPlace:46035;Chemin d'Antony;2.3126496863919335;48.747936542587276;SNCF;C;;RapidTransit;48.747936542587276, 2.3126496863919335;Antony;92002
IDFM:C01727;C;IDFM:monomodalStopPlace:47883;Chaville - Vélizy;2.1834187943404744;48.79968116446791;SNCF;C;;RapidTransit;48.79968116446791, 2.1834187943404744;Viroflay;78686
IDFM:C01727;C;IDFM:monomodalStopPlace:43163;Meudon Val Fleury;2.2409419171683633;48.807552358196936;SNCF;C;;RapidTransit;48.807552358196936, 2.2409419171683633;Meudon;92048
IDFM:C01727;C;IDFM:monomodalStopPlace:45346;Javel;2.27803679359566;48.84716158046345;SNCF;C;;RapidTransit;48.84716158046345, 2.27803679359566;Paris;75056
IDFM:C01727;C;IDFM:monomodalStopPlace:43121;Dourdan;2.008756915662106;48.53376051220457;SNCF;C;;RapidTransit;48.53376051220457, 2.008756915662106;Dourdan;91200
IDFM:C01727;C;IDFM:monomodalStopPlace:43201;Saint-Gratien;2.285777828585351;48.963658273529425;SNCF;C;;RapidTransit;48.963658273529425, 2.285777828585351;Saint-Gratien;95555
IDFM:C01727;C;IDFM:monomodalStopPlace:45447;Avenue Henri Martin;2.2722351438875577;48.86545537297977;SNCF;C;;RapidTransit;48.86545537297977, 2.2722351438875577;Paris;75056
IDFM:C01727;C;IDFM:monomodalStopPlace:58757;Champ de Mars Tour Eiffel;2.2896562493865478;48.8564765666592;SNCF;C;;RapidTransit;48.8564765666592, 2.2896562493865478;Paris;75056
IDFM:C01727;C;IDFM:monomodalStopPlace:45705;Musée d'Orsay;2.326623034830927;48.860365575927474;SNCF;C;;RapidTransit;48.860365575927474, 2.326623034830927;Paris;75056
IDFM:C01727;C;IDFM:monomodalStopPlace:46366;Ivry-sur-Seine;2.391677280020743;48.8139591342409;SNCF;C;;RapidTransit;48.8139591342409, 2.391677280020743;Ivry-sur-Seine;94041
IDFM:C01727;C;IDFM:monomodalStopPlace:46307;Villeneuve-le-Roi;2.426423645047488;48.73968685807613;SNCF;C;;RapidTransit;48.73968685807613, 2.426423645047488;Villeneuve-le-Roi;94077
IDFM:C01727;C;IDFM:monomodalStopPlace:43192;Savigny-sur-Orge;2.3523541804056833;48.67639468866699;SNCF;C;;RapidTransit;48.67639468866699, 2.3523541804056833;Savigny-sur-Orge;91589
IDFM:C01728;D;IDFM:monomodalStopPlace:411440;Creil;2.46892902764167;49.264185555044406;SNCF;D;;RapidTransit;49.264185555044406, 2.46892902764167;Creil;60175
IDFM:C01728;D;IDFM:monomodalStopPlace:411428;Chantilly - Gouvieux;2.4595159140085237;49.187030004663995;SNCF;D;;RapidTransit;49.187030004663995, 2.4595159140085237;Chantilly;60141
IDFM:C01728;D;IDFM:monomodalStopPlace:47958;Survilliers - Fosses;2.525517836696695;49.09951161811565;SNCF;D;;RapidTransit;49.09951161811565, 2.525517836696695;Fosses;95250
IDFM:C01728;D;IDFM:monomodalStopPlace:44628;Louvres;2.5018113143714777;49.04933726826723;SNCF;D;;RapidTransit;49.04933726826723, 2.5018113143714777;Louvres;95351
IDFM:C01728;D;IDFM:monomodalStopPlace:47968;Les Noues;2.477713962139221;49.03307204384692;SNCF;D;;RapidTransit;49.03307204384692, 2.477713962139221;Goussainville;95280
IDFM:C01728;D;IDFM:monomodalStopPlace:43142;La Ferté-Alais;2.352260197381972;48.4855007310595;SNCF;D;;RapidTransit;48.4855007310595, 2.352260197381972;Baulne;91047
IDFM:C01728;D;IDFM:monomodalStopPlace:43092;Boigneville;2.378618440416535;48.341208632507616;SNCF;D;;RapidTransit;48.341208632507616, 2.378618440416535;Boigneville;91069
IDFM:C01728;D;IDFM:monomodalStopPlace:47906;Évry - Courcouronnes;2.4300329095214526;48.62588794663492;SNCF;D;;RapidTransit;48.62588794663492, 2.4300329095214526;Évry-Courcouronnes;91228
IDFM:C01728;D;IDFM:monomodalStopPlace:48489;Orangis Bois de l'Épine;2.40769076622141;48.6363396147683;SNCF;D;;RapidTransit;48.6363396147683, 2.40769076622141;Ris-Orangis;91521
IDFM:C01728;D;IDFM:monomodalStopPlace:43222;Villiers-le-Bel - Gonesse - Arnouville;2.4162467958973055;48.99377204005172;SNCF;D;;RapidTransit;48.99377204005172, 2.4162467958973055;Arnouville;95019
IDFM:C01728;D;IDFM:monomodalStopPlace:412743;Saint-Denis;2.345479004987329;48.93482889939617;SNCF;D;;RapidTransit;48.93482889939617, 2.345479004987329;Saint-Denis;93066
IDFM:C01728;D;IDFM:monomodalStopPlace:45102;Châtelet - Les Halles;2.34697651043533;48.86174503191322;SNCF;D;;RapidTransit;48.86174503191322, 2.34697651043533;Paris;75056
IDFM:C01728;D;IDFM:monomodalStopPlace:45067;Villeneuve-Saint-Georges;2.446304786739812;48.730080267741016;SNCF;D;;RapidTransit;48.730080267741016, 2.446304786739812;Villeneuve-Saint-Georges;94078
IDFM:C01728;D;IDFM:monomodalStopPlace:45860;Grand Bourg;2.4348387319350167;48.64880840591746;SNCF;D;;RapidTransit;48.64880840591746, 2.4348387319350167;Ris-Orangis;91521
IDFM:C01729;E;IDFM:monomodalStopPlace:46552;Nogent - Le Perreux;2.4939549579206104;48.839991175687295;SNCF;E;;RapidTransit;48.839991175687295, 2.4939549579206104;Nogent-sur-Marne;94052
IDFM:C01729;E;IDFM:monomodalStopPlace:470549;La Défense;2.238418596250407;48.892229801568206;SNCF;E;;RapidTransit;48.892229801568206, 2.238418596250407;Puteaux;92062
IDFM:C01729;E;IDFM:monomodalStopPlace:43096;Bondy;2.4795800358385867;48.893965864676495;SNCF;E;;RapidTransit;48.893965864676495, 2.4795800358385867;Bondy;93010
IDFM:C01729;E;IDFM:monomodalStopPlace:58879;Chelles - Gournay;2.5833806594500697;48.87411948897062;SNCF;E;;RapidTransit;48.87411948897062, 2.5833806594500697;Chelles;77108
